id,text,emotion,joy,sadness,anger,fear,surprise
442,Cheerful and optimistic! Great vibes!,joy,1,0,0,0,0
443,Grief and sorrow overwhelming me.,sadness,0,1,0,0,0
444,Dread filling my mind. Can't sleep!,fear,0,0,0,1,0
445,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
446,Delighted with the results! So pleased!,joy,1,0,0,0,0
447,Astonished! Never saw that coming!,surprise,0,0,0,0,1
448,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
449,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
450,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
451,Feeling joyful and blessed! Life is good!,joy,1,0,0,0,0
452,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
453,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
454,Furious! How dare they treat me like this!,anger,0,0,1,0,0
455,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
456,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
457,Cheerful and optimistic! Great vibes!,joy,1,0,0,0,0
458,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
459,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
460,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
461,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
462,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
463,Wow! I didn't expect this at all! 😲,surprise,0,0,0,0,1
464,Seething with rage! Lost my temper!,anger,0,0,1,0,0
465,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
466,Cheerful and optimistic! Great vibes!,joy,1,0,0,0,0
467,Outraged by this injustice! Not tolerating it!,anger,0,0,1,0,0
468,Pure happiness! Can't stop smiling!,joy,1,0,0,0,0
469,Amazed! What a twist!,surprise,0,0,0,0,1
470,Tears flowing freely. Heart is heavy.,sadness,0,1,0,0,0
471,Amazed! What a twist!,surprise,0,0,0,0,1
472,Celebrating success! Best feeling ever!,joy,1,0,0,0,0
473,Dread filling my mind. Can't sleep!,fear,0,0,0,1,0
474,Tears flowing freely. Heart is heavy.,sadness,0,1,0,0,0
475,Livid! Can't believe this happened!,anger,0,0,1,0,0
476,Mad as hell! This is infuriating!,anger,0,0,1,0,0
477,Tears flowing freely. Heart is heavy.,sadness,0,1,0,0,0
478,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
479,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
480,Miserable and dejected. Need comfort.,sadness,0,1,0,0,0
481,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
482,This is terrifying. I don't know what to do.,fear,0,0,0,1,0
483,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
484,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
485,Irritated beyond words! So frustrating!,anger,0,0,1,0,0
486,Dread filling my mind. Can't sleep!,fear,0,0,0,1,0
487,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
488,Dread filling my mind. Can't sleep!,fear,0,0,0,1,0
489,This is terrifying. I don't know what to do.,fear,0,0,0,1,0
490,Feeling joyful and blessed! Life is good!,joy,1,0,0,0,0
491,Cheerful and optimistic! Great vibes!,joy,1,0,0,0,0
492,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
493,Astonished! Never saw that coming!,surprise,0,0,0,0,1
494,Seething with rage! Lost my temper!,anger,0,0,1,0,0
495,Flabbergasted! Speechless!,surprise,0,0,0,0,1
496,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
497,Bewildered! How did this happen?!,surprise,0,0,0,0,1
498,Caught off guard! Totally unexpected!,surprise,0,0,0,0,1
499,Panic setting in. Heart racing!,fear,0,0,0,1,0
500,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
501,Outraged by this injustice! Not tolerating it!,anger,0,0,1,0,0
502,Cheerful and optimistic! Great vibes!,joy,1,0,0,0,0
503,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
504,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
505,Wow! I didn't expect this at all! 😲,surprise,0,0,0,0,1
506,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
507,Outraged by this injustice! Not tolerating it!,anger,0,0,1,0,0
508,This is heartbreaking. Can't stop crying.,sadness,0,1,0,0,0
509,Outraged by this injustice! Not tolerating it!,anger,0,0,1,0,0
510,Amazed! What a twist!,surprise,0,0,0,0,1
511,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
512,Irritated beyond words! So frustrating!,anger,0,0,1,0,0
513,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
514,Livid! Can't believe this happened!,anger,0,0,1,0,0
515,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
516,Feeling joyful and blessed! Life is good!,joy,1,0,0,0,0
517,Lost something precious. So painful.,sadness,0,1,0,0,0
518,Enraged! Someone will pay for this!,anger,0,0,1,0,0
519,Feeling euphoric! Amazing news!,joy,1,0,0,0,0
520,Enraged! Someone will pay for this!,anger,0,0,1,0,0
521,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
522,Pure happiness! Can't stop smiling!,joy,1,0,0,0,0
523,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
524,Miserable and dejected. Need comfort.,sadness,0,1,0,0,0
525,Seething with rage! Lost my temper!,anger,0,0,1,0,0
526,Outraged by this injustice! Not tolerating it!,anger,0,0,1,0,0
527,Wow! I didn't expect this at all! 😲,surprise,0,0,0,0,1
528,Enraged! Someone will pay for this!,anger,0,0,1,0,0
529,Bewildered! How did this happen?!,surprise,0,0,0,0,1
530,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
531,Seething with rage! Lost my temper!,anger,0,0,1,0,0
532,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
533,Celebrating success! Best feeling ever!,joy,1,0,0,0,0
534,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
535,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
536,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
537,Outraged by this injustice! Not tolerating it!,anger,0,0,1,0,0
538,Startled! That came out of nowhere!,surprise,0,0,0,0,1
539,Cheerful and optimistic! Great vibes!,joy,1,0,0,0,0
540,Bewildered! How did this happen?!,surprise,0,0,0,0,1
541,Astonished! Never saw that coming!,surprise,0,0,0,0,1
542,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
543,Caught off guard! Totally unexpected!,surprise,0,0,0,0,1
544,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
545,This is terrifying. I don't know what to do.,fear,0,0,0,1,0
546,Panic setting in. Heart racing!,fear,0,0,0,1,0
547,Grief and sorrow overwhelming me.,sadness,0,1,0,0,0
548,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
549,Irritated beyond words! So frustrating!,anger,0,0,1,0,0
550,Amazed! What a twist!,surprise,0,0,0,0,1
551,Caught off guard! Totally unexpected!,surprise,0,0,0,0,1
552,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
553,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
554,Irritated beyond words! So frustrating!,anger,0,0,1,0,0
555,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
556,Flabbergasted! Speechless!,surprise,0,0,0,0,1
557,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
558,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
559,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
560,Startled! That came out of nowhere!,surprise,0,0,0,0,1
561,Lost something precious. So painful.,sadness,0,1,0,0,0
562,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
563,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
564,Dread filling my mind. Can't sleep!,fear,0,0,0,1,0
565,Amazed! What a twist!,surprise,0,0,0,0,1
566,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
567,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
568,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
569,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
570,Outraged by this injustice! Not tolerating it!,anger,0,0,1,0,0
571,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
572,Startled! That came out of nowhere!,surprise,0,0,0,0,1
573,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
574,Caught off guard! Totally unexpected!,surprise,0,0,0,0,1
575,This is heartbreaking. Can't stop crying.,sadness,0,1,0,0,0
576,This is heartbreaking. Can't stop crying.,sadness,0,1,0,0,0
577,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
578,This is terrifying. I don't know what to do.,fear,0,0,0,1,0
579,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
580,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
581,Startled! That came out of nowhere!,surprise,0,0,0,0,1
582,Pure happiness! Can't stop smiling!,joy,1,0,0,0,0
583,Seething with rage! Lost my temper!,anger,0,0,1,0,0
584,Amazed! What a twist!,surprise,0,0,0,0,1
585,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
586,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
587,Wow! I didn't expect this at all! 😲,surprise,0,0,0,0,1
588,Alarmed by recent events. Stay safe!,fear,0,0,0,1,0
589,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
590,This is terrifying. I don't know what to do.,fear,0,0,0,1,0
591,Mad as hell! This is infuriating!,anger,0,0,1,0,0
592,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
593,Wow! I didn't expect this at all! 😲,surprise,0,0,0,0,1
594,Feeling euphoric! Amazing news!,joy,1,0,0,0,0
595,Irritated beyond words! So frustrating!,anger,0,0,1,0,0
596,Delighted with the results! So pleased!,joy,1,0,0,0,0
597,Outraged by this injustice! Not tolerating it!,anger,0,0,1,0,0
598,I'm scared and worried about this 😰,fear,0,0,0,1,0
599,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
600,Mad as hell! This is infuriating!,anger,0,0,1,0,0
601,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
602,Lost something precious. So painful.,sadness,0,1,0,0,0
603,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
604,This is heartbreaking. Can't stop crying.,sadness,0,1,0,0,0
605,Livid! Can't believe this happened!,anger,0,0,1,0,0
606,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
607,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
608,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
609,Irritated beyond words! So frustrating!,anger,0,0,1,0,0
610,Flabbergasted! Speechless!,surprise,0,0,0,0,1
611,Mad as hell! This is infuriating!,anger,0,0,1,0,0
612,Celebrating success! Best feeling ever!,joy,1,0,0,0,0
613,Astonished! Never saw that coming!,surprise,0,0,0,0,1
614,Miserable and dejected. Need comfort.,sadness,0,1,0,0,0
615,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
616,Irritated beyond words! So frustrating!,anger,0,0,1,0,0
617,Flabbergasted! Speechless!,surprise,0,0,0,0,1
618,Amazed! What a twist!,surprise,0,0,0,0,1
619,Startled! That came out of nowhere!,surprise,0,0,0,0,1
620,Miserable and dejected. Need comfort.,sadness,0,1,0,0,0
621,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
622,Miserable and dejected. Need comfort.,sadness,0,1,0,0,0
623,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
624,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
625,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
626,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
627,Seething with rage! Lost my temper!,anger,0,0,1,0,0
628,Feeling euphoric! Amazing news!,joy,1,0,0,0,0
629,Dread filling my mind. Can't sleep!,fear,0,0,0,1,0
630,Tears flowing freely. Heart is heavy.,sadness,0,1,0,0,0
631,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
632,Caught off guard! Totally unexpected!,surprise,0,0,0,0,1
633,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
634,This is terrifying. I don't know what to do.,fear,0,0,0,1,0
635,Bewildered! How did this happen?!,surprise,0,0,0,0,1
636,Panic setting in. Heart racing!,fear,0,0,0,1,0
637,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
638,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
639,Livid! Can't believe this happened!,anger,0,0,1,0,0
640,Lost something precious. So painful.,sadness,0,1,0,0,0
641,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
642,Bewildered! How did this happen?!,surprise,0,0,0,0,1
643,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
644,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
645,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
646,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
647,Livid! Can't believe this happened!,anger,0,0,1,0,0
648,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
649,Outraged by this injustice! Not tolerating it!,anger,0,0,1,0,0
650,Miserable and dejected. Need comfort.,sadness,0,1,0,0,0
651,Furious! How dare they treat me like this!,anger,0,0,1,0,0
652,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
653,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
654,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
655,Tears flowing freely. Heart is heavy.,sadness,0,1,0,0,0
656,Astonished! Never saw that coming!,surprise,0,0,0,0,1
657,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
658,Alarmed by recent events. Stay safe!,fear,0,0,0,1,0
659,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
660,Mad as hell! This is infuriating!,anger,0,0,1,0,0
661,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
662,This is heartbreaking. Can't stop crying.,sadness,0,1,0,0,0
663,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
664,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
665,Caught off guard! Totally unexpected!,surprise,0,0,0,0,1
666,Cheerful and optimistic! Great vibes!,joy,1,0,0,0,0
667,Lost something precious. So painful.,sadness,0,1,0,0,0
668,Astonished! Never saw that coming!,surprise,0,0,0,0,1
669,Dread filling my mind. Can't sleep!,fear,0,0,0,1,0
670,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
671,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
672,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
673,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
674,Alarmed by recent events. Stay safe!,fear,0,0,0,1,0
675,Grief and sorrow overwhelming me.,sadness,0,1,0,0,0
676,Startled! That came out of nowhere!,surprise,0,0,0,0,1
677,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
678,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
679,Grief and sorrow overwhelming me.,sadness,0,1,0,0,0
680,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
681,Cheerful and optimistic! Great vibes!,joy,1,0,0,0,0
682,Alarmed by recent events. Stay safe!,fear,0,0,0,1,0
683,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
684,Caught off guard! Totally unexpected!,surprise,0,0,0,0,1
685,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
686,Panic setting in. Heart racing!,fear,0,0,0,1,0
687,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
688,Mad as hell! This is infuriating!,anger,0,0,1,0,0
689,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
690,Wow! I didn't expect this at all! 😲,surprise,0,0,0,0,1
691,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
692,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
693,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
694,Seething with rage! Lost my temper!,anger,0,0,1,0,0
695,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
696,Furious! How dare they treat me like this!,anger,0,0,1,0,0
697,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
698,Miserable and dejected. Need comfort.,sadness,0,1,0,0,0
699,Outraged by this injustice! Not tolerating it!,anger,0,0,1,0,0
700,Dread filling my mind. Can't sleep!,fear,0,0,0,1,0
701,This is heartbreaking. Can't stop crying.,sadness,0,1,0,0,0
702,Alarmed by recent events. Stay safe!,fear,0,0,0,1,0
703,Wow! I didn't expect this at all! 😲,surprise,0,0,0,0,1
704,Lost something precious. So painful.,sadness,0,1,0,0,0
705,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
706,Feeling joyful and blessed! Life is good!,joy,1,0,0,0,0
707,Delighted with the results! So pleased!,joy,1,0,0,0,0
708,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
709,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
710,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
711,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
712,Tears flowing freely. Heart is heavy.,sadness,0,1,0,0,0
713,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
714,Flabbergasted! Speechless!,surprise,0,0,0,0,1
715,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
716,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
717,Amazed! What a twist!,surprise,0,0,0,0,1
718,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
719,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
720,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
721,Bewildered! How did this happen?!,surprise,0,0,0,0,1
722,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
723,Astonished! Never saw that coming!,surprise,0,0,0,0,1
724,Feeling joyful and blessed! Life is good!,joy,1,0,0,0,0
725,Seething with rage! Lost my temper!,anger,0,0,1,0,0
726,Amazed! What a twist!,surprise,0,0,0,0,1
727,Bewildered! How did this happen?!,surprise,0,0,0,0,1
728,Miserable and dejected. Need comfort.,sadness,0,1,0,0,0
729,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
730,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
731,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
732,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
733,Lost something precious. So painful.,sadness,0,1,0,0,0
734,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
735,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
736,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
737,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
738,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
739,Tears flowing freely. Heart is heavy.,sadness,0,1,0,0,0
740,Feeling euphoric! Amazing news!,joy,1,0,0,0,0
741,Pure happiness! Can't stop smiling!,joy,1,0,0,0,0
742,Seething with rage! Lost my temper!,anger,0,0,1,0,0
743,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
744,Astonished! Never saw that coming!,surprise,0,0,0,0,1
745,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
746,Mad as hell! This is infuriating!,anger,0,0,1,0,0
747,Alarmed by recent events. Stay safe!,fear,0,0,0,1,0
748,Furious! How dare they treat me like this!,anger,0,0,1,0,0
749,Furious! How dare they treat me like this!,anger,0,0,1,0,0
750,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
751,Celebrating success! Best feeling ever!,joy,1,0,0,0,0
752,Dread filling my mind. Can't sleep!,fear,0,0,0,1,0
753,Delighted with the results! So pleased!,joy,1,0,0,0,0
754,Seething with rage! Lost my temper!,anger,0,0,1,0,0
755,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
756,Celebrating success! Best feeling ever!,joy,1,0,0,0,0
757,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
758,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
759,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
760,Livid! Can't believe this happened!,anger,0,0,1,0,0
761,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
762,This is terrifying. I don't know what to do.,fear,0,0,0,1,0
763,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
764,Startled! That came out of nowhere!,surprise,0,0,0,0,1
765,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
766,Startled! That came out of nowhere!,surprise,0,0,0,0,1
767,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
768,Panic setting in. Heart racing!,fear,0,0,0,1,0
769,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
770,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
771,Furious! How dare they treat me like this!,anger,0,0,1,0,0
772,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
773,Seething with rage! Lost my temper!,anger,0,0,1,0,0
774,Grief and sorrow overwhelming me.,sadness,0,1,0,0,0
775,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
776,Lost something precious. So painful.,sadness,0,1,0,0,0
777,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
778,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
779,This is terrifying. I don't know what to do.,fear,0,0,0,1,0
780,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
781,Miserable and dejected. Need comfort.,sadness,0,1,0,0,0
782,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
783,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
784,This is heartbreaking. Can't stop crying.,sadness,0,1,0,0,0
785,Feeling euphoric! Amazing news!,joy,1,0,0,0,0
786,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
787,Seething with rage! Lost my temper!,anger,0,0,1,0,0
788,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
789,Bewildered! How did this happen?!,surprise,0,0,0,0,1
790,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
791,Bewildered! How did this happen?!,surprise,0,0,0,0,1
792,Celebrating success! Best feeling ever!,joy,1,0,0,0,0
793,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
794,Startled! That came out of nowhere!,surprise,0,0,0,0,1
795,Cheerful and optimistic! Great vibes!,joy,1,0,0,0,0
796,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
797,This is heartbreaking. Can't stop crying.,sadness,0,1,0,0,0
798,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
799,I'm scared and worried about this 😰,fear,0,0,0,1,0
800,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
801,Livid! Can't believe this happened!,anger,0,0,1,0,0
802,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
803,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
804,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
805,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
806,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
807,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
808,Dread filling my mind. Can't sleep!,fear,0,0,0,1,0
809,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
810,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
811,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
812,Seething with rage! Lost my temper!,anger,0,0,1,0,0
813,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
814,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
815,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
816,Feeling joyful and blessed! Life is good!,joy,1,0,0,0,0
817,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
818,Furious! How dare they treat me like this!,anger,0,0,1,0,0
819,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
820,Mad as hell! This is infuriating!,anger,0,0,1,0,0
821,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
822,Lost something precious. So painful.,sadness,0,1,0,0,0
823,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
824,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
825,Startled! That came out of nowhere!,surprise,0,0,0,0,1
826,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
827,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
828,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
829,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
830,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
831,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
832,Mad as hell! This is infuriating!,anger,0,0,1,0,0
833,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
834,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
835,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
836,I'm scared and worried about this 😰,fear,0,0,0,1,0
837,Bewildered! How did this happen?!,surprise,0,0,0,0,1
838,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
839,Caught off guard! Totally unexpected!,surprise,0,0,0,0,1
840,Livid! Can't believe this happened!,anger,0,0,1,0,0
841,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
842,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
843,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
844,Livid! Can't believe this happened!,anger,0,0,1,0,0
845,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
846,Astonished! Never saw that coming!,surprise,0,0,0,0,1
847,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
848,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
849,Cheerful and optimistic! Great vibes!,joy,1,0,0,0,0
850,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
851,Wow! I didn't expect this at all! 😲,surprise,0,0,0,0,1
852,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
853,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
854,Astonished! Never saw that coming!,surprise,0,0,0,0,1
855,Wow! I didn't expect this at all! 😲,surprise,0,0,0,0,1
856,Pure happiness! Can't stop smiling!,joy,1,0,0,0,0
857,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
858,Amazed! What a twist!,surprise,0,0,0,0,1
859,Caught off guard! Totally unexpected!,surprise,0,0,0,0,1
860,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
861,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
862,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
863,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
864,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
865,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
866,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
867,Enraged! Someone will pay for this!,anger,0,0,1,0,0
868,Feeling euphoric! Amazing news!,joy,1,0,0,0,0
869,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
870,Cheerful and optimistic! Great vibes!,joy,1,0,0,0,0
871,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
872,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
873,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
874,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
875,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
876,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
877,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
878,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
879,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
880,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
